,acc
0,0.810000002
1,0.779999971
2,0.769999981
3,0.790000021
4,0.699999988
5,0.790000021
6,0.819999993
7,0.769999981
8,0.790000021
9,0.75999999
10,0.819999993
11,0.779999971
12,0.75999999
13,0.810000002
14,0.810000002
15,0.800000012
16,0.779999971
17,0.810000002
18,0.769999981
19,0.74000001
20,0.790000021
21,0.819999993
22,0.790000021
23,0.75999999
24,0.810000002
25,0.850000024
26,0.810000002
27,0.75
28,0.769999981
29,0.779999971
30,0.74000001
31,0.779999971
32,0.819999993
33,0.730000019
34,0.790000021
35,0.819999993
36,0.819999993
37,0.689999998
38,0.670000017
39,0.75999999
40,0.709999979
41,0.810000002
42,0.800000012
43,0.800000012
44,0.769999981
45,0.819999993
46,0.74000001
47,0.839999974
48,0.790000021
49,0.810000002
50,0.790000021
51,0.829999983
52,0.790000021
53,0.730000019
54,0.74000001
55,0.689999998
56,0.769999981
57,0.800000012
58,0.779999971
59,0.829999983
60,0.810000002
61,0.639999986
62,0.819999993
63,0.75
64,0.779999971
65,0.730000019
66,0.75
67,0.790000021
68,0.819999993
69,0.75
70,0.790000021
71,0.800000012
72,0.75999999
73,0.75
74,0.769999981
75,0.790000021
76,0.730000019
77,0.74000001
78,0.800000012
79,0.779999971
80,0.769999981
81,0.779999971
82,0.790000021
83,0.75
84,0.74000001
85,0.829999983
86,0.779999971
87,0.800000012
88,0.779999971
89,0.769999981
90,0.709999979
91,0.819999993
92,0.790000021
93,0.779999971
94,0.75999999
95,0.779999971
96,0.769999981
97,0.790000021
98,0.74000001
99,0.74000001
100,0.579999983
101,0.75999999
102,0.75
103,0.779999971
104,0.75
105,0.74000001
106,0.569999993
107,0.75
108,0.769999981
109,0.779999971
110,0.779999971
111,0.75999999
112,0.790000021
113,0.769999981
114,0.769999981
115,0.680000007
116,0.810000002
117,0.569999993
118,0.800000012
119,0.75
120,0.769999981
121,0.779999971
122,0.720000029
123,0.769999981
124,0.699999988
125,0.74000001
126,0.839999974
127,0.769999981
128,0.769999981
129,0.75
130,0.75999999
131,0.720000029
132,0.790000021
133,0.790000021
134,0.75
135,0.720000029
136,0.810000002
137,0.800000012
138,0.800000012
139,0.800000012
140,0.810000002
141,0.819999993
142,0.709999979
143,0.75
144,0.800000012
145,0.800000012
146,0.790000021
147,0.75999999
148,0.819999993
149,0.670000017
150,0.75
151,0.779999971
152,0.779999971
153,0.810000002
154,0.829999983
155,0.819999993
156,0.819999993
157,0.800000012
158,0.75999999
159,0.800000012
160,0.839999974
161,0.769999981
162,0.819999993
163,0.810000002
164,0.850000024
165,0.74000001
166,0.829999983
167,0.810000002
168,0.790000021
169,0.75999999
170,0.720000029
171,0.810000002
172,0.720000029
173,0.810000002
174,0.699999988
175,0.689999998
176,0.790000021
177,0.709999979
178,0.629999995
179,0.829999983
180,0.74000001
181,0.819999993
182,0.709999979
183,0.75999999
184,0.75
185,0.769999981
186,0.769999981
187,0.769999981
188,0.75999999
189,0.800000012
190,0.839999974
191,0.800000012
192,0.779999971
193,0.819999993
194,0.779999971
195,0.800000012
196,0.75
197,0.810000002
198,0.620000005
199,0.829999983
200,0.800000012
201,0.699999988
202,0.850000024
203,0.790000021
204,0.730000019
205,0.699999988
206,0.819999993
207,0.670000017
208,0.790000021
209,0.810000002
210,0.790000021
211,0.75999999
212,0.75999999
213,0.769999981
214,0.779999971
215,0.75
216,0.829999983
217,0.720000029
218,0.75999999
219,0.779999971
220,0.790000021
221,0.720000029
222,0.769999981
223,0.75
224,0.74000001
225,0.699999988
226,0.74000001
227,0.730000019
228,0.769999981
229,0.779999971
230,0.75999999
231,0.800000012
232,0.800000012
233,0.790000021
234,0.800000012
235,0.74000001
236,0.75999999
237,0.779999971
238,0.769999981
239,0.800000012
240,0.730000019
241,0.75
242,0.800000012
243,0.779999971
244,0.74000001
245,0.709999979
246,0.790000021
247,0.829999983
248,0.720000029
249,0.769999981
250,0.790000021
251,0.75999999
252,0.75999999
253,0.790000021
254,0.769999981
255,0.74000001
256,0.839999974
257,0.790000021
258,0.74000001
259,0.75
260,0.819999993
261,0.779999971
262,0.75999999
263,0.790000021
264,0.779999971
265,0.800000012
266,0.769999981
267,0.779999971
268,0.720000029
269,0.779999971
270,0.779999971
271,0.75999999
272,0.819999993
273,0.75
274,0.819999993
275,0.74000001
276,0.810000002
277,0.800000012
278,0.74000001
279,0.670000017
280,0.769999981
281,0.75999999
282,0.819999993
283,0.75999999
284,0.74000001
285,0.769999981
286,0.790000021
287,0.639999986
288,0.810000002
289,0.75
290,0.790000021
291,0.769999981
292,0.75
293,0.75999999
294,0.790000021
295,0.730000019
296,0.709999979
297,0.779999971
298,0.790000021
299,0.800000012
